101,Royal Enfield Classic 350,175000,2019,350,1
102,Honda Dio,45000,2017,5650,2
103,Royal Enfield Classic Gunmetal Grey,150000,2018,12000,3
104,Yamaha Fazer FI V 2.0 [2016-2018],65000,2015,23000,4
105,Yamaha SZ [2013-2014],20000,2011,21000,5
106,Honda CB Twister,18000,2010,60000,6
107,Honda CB Hornet 160R,78500,2018,17000,7
108,Royal Enfield Bullet 350 [2007-2011],180000,2008,39000,8
109,Hero Honda CBZ extreme,30000,2010,32000,9
110,Bajaj Discover 125,50000,2016,42000,10
111,Yamaha FZ16,35000,2015,32000,11
112,Honda Navi,28000,2016,10000,12
113,Bajaj Avenger Street 220,80000,2018,21178,13
114,Yamaha YZF R3,365000,2019,1127,14
115,Jawa 42,185000,2020,1700,15
116,Suzuki Access 125 [2007-2016],25000,2012,55000,16
117,Hero Honda Glamour,25000,2006,27000,17
118,Yamaha YZF R15 S,40000,2010,45000,18
119,Royal Enfield Classic Gunmetal Grey,150000,2018,23000,19
120,Yamaha FZ25,120000,2018,39000,20
121,Hero Passion Pro 110,15000,2008,60000,21
122,Honda Navi [2016-2017],26000,2016,17450,22
123,Honda Activa i,32000,2013,20696,23
124,Jawa Standard,180000,2019,2000,24
125,Royal Enfield Thunderbird 350,110000,2016,20000,25
126,Honda Dream Yuga,25000,2012,35000,26
127,TVS Apache RTR 160 4V,80000,2018,15210,27
128,Honda Navi [2016-2017],42000,2017,24000,28
129,Yamaha Fazer [2009-2016],40000,2013,35000,29
130,Hero Honda Splendor NXG,21000,2009,10000,30
131,Hero Glamour 125,55000,2017,2500,31
132,Yamaha FZ S [2012-2016],38000,2013,75000,32
133,Hero Xtreme Sports,43000,2016,50000,33
134,Honda X-Blade,65000,2018,27000,34
135,Honda CB Shine SP,62000,2019,10000,35
136,Honda Activa 5G,60000,2018,6502,36
137,Hero Glamour 125,45000,2018,21000,37
138,Honda CBR-250R,120000,2016,16000,38
139,Hero Honda Passion PRO [2012],30000,2011,42000,39
140,Royal Enfield Thunderbird 350,90000,2015,13000,40
141,Bajaj Dominar 400,125000,2017,12800,41
142,Hero Glamour FI,50000,2018,20000,42
143,KTM 390 Duke,175000,2017,4600,43
144,Hero Passion XPro,28000,2012,81000,44
145,Yamaha FZ S V 2.0,85000,2018,8000,45
146,Hero Achiever 150,29900,2016,55000,46
147,Bajaj Discover 125,25000,2011,57000,47
148,Yamaha FZ16,30000,2009,26000,48
149,Yamaha Saluto,60000,2018,13000,49
150,Yamaha FZ16,35000,2012,29000,50